YEAR_PATH_STARTED,TOTAL_ETUDIANTS,PCT_HOMMES,PCT_FEMMES,PCT_NON_RENSEIGNES,NB_HOMMES,NB_FEMMES,NB_NON_RENSEIGNES
2022,1696,40.57,17.81,41.63,688,302,706
2023,1150,44.61,21.48,33.91,513,247,390
2024,850,64.35,25.53,10.12,547,217,86
2025,951,62.67,30.60,6.73,596,291,64
