"Populations de référence 2022"
"France entière"
"© Insee"


"POPREF T1 - Populations entre 2011 et 2022"
"";"2011";"2016";"2022";
"Population municipale";"64933400";"66361658";"67760573";
"Population comptée à part";"1479532";"1390180";"1200372";
"Population totale";"66412932";"67751838";"68960945";

"Sources : Insee, RP2022, RP2016 et RP2011 en géographie au 01/01/2024."
