Zone,Production,Importations - Quantité,Exportations - Quantité,Pertes,Nourriture,Disponibilité intérieure,Variation de stock,Aliments pour animaux,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité alimentaire en quantité (kg/personne/an),Disponibilité de matière grasse en quantité (g/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),Population_1000,Taux_dependance_alimentaire,Ratio_pertes,Production_par_capita,Ratio_export_import
Australie,127100.0,6439.0,52287.0,2874.0,22296.0,77921.0,3334.0,11209.0,38.90588235294118,10.667882352941175,1.8092941176470587,1.2707058823529411,24584.62,0.0826349753900107,0.03688350974854648,5.169898693984341,8.120359043273949
Autriche,17570.0,9485.0,7823.0,625.0,8216.0,19204.0,14.0,3746.0,42.45977011494253,10.708390804597702,1.9158620689655173,1.2426436781609196,8819.901,0.4939074935478289,0.032545301367147395,1.9920856263482292,0.8247758750895229
Azerbaïdjan,10673.0,2674.0,681.0,491.0,7799.0,12521.0,140.0,2565.0,36.92857142857143,9.429404761904761,0.7013095238095237,1.0988095238095237,9845.32,0.21356120009893778,0.039214117146065236,1.084068259430038,0.2546745494859575
Bahamas,182.0,187.0,9.0,7.0,215.0,342.0,18.0,1.0,23.482758620689655,6.5,0.8227586206896551,0.7054022988505748,381.755,0.5467820269531376,0.020467776410010498,0.47674430788252187,0.04812808487655146
Bangladesh,89461.0,18069.0,269.0,4991.0,76966.0,103387.0,3870.0,8167.0,28.844444444444445,5.414606741573034,0.37622222222222224,0.6691111111111111,159685.424,0.17477052071565552,0.04827492771552586,0.5602327200494347,0.014887375345211392
Barbade,219.0,239.0,55.0,7.0,171.0,407.0,-2.0,28.0,33.28735632183908,7.016206896551724,1.07,1.02,286.232,0.5872221444173357,0.01719897494109351,0.7651109410864575,0.2301245601482839
Belgique,27757.0,38900.0,32418.0,754.0,11603.0,32221.0,2015.0,6006.0,45.42168674698795,12.237831325301205,1.8753012048192772,1.2210843373493976,11419.748,1.20728713549278,0.02340088689361327,2.430613842738575,0.8333675878311675
Belize,2348.0,92.0,484.0,103.0,218.0,1917.0,36.0,159.0,33.25925925925926,6.927294117647059,0.9950617283950618,0.8285185185185185,375.769,0.04799162859069975,0.0537297580961095,6.248503073688693,5.2608123824741035
Bolivie (État plurinational de),20455.0,1151.0,741.0,998.0,6233.0,28387.0,-7526.0,2449.0,27.057471264367816,6.327727272727273,0.6510227272727273,0.7772727272727273,11192.855,0.0405467277082211,0.03515693679652881,1.8275049728148027,0.6437874510969148
Bosnie-Herzégovine,3628.0,2251.0,678.0,279.0,3321.0,5402.0,-203.0,1000.0,40.32098765432099,11.805357142857142,1.0098765432098764,1.1676543209876542,3351.525,0.4166974422996219,0.051647528388091744,1.0824919752972226,0.30119933309669783
