CODDEP,COM,PMUN,PTOT,Id_codedep_codecommune,Geolocalisation
1,Civrieux,1829,1882,1105,"45.922467454,4.88633786877"
1,Cize,179,186,1106,"46.2003848172,5.45082526739"
1,Cleyzieu,133,137,1107,"45.902146623,5.43272695486"
1,Coligny,1176,1200,1108,"46.3866637865,5.3308227014"
1,Collonges,2226,2272,1109,"46.1419227898,5.90040256654"
1,Colomieu,156,158,1110,"45.7361469025,5.62670101041"
1,Conand,132,133,1111,"45.8834810846,5.47541328981"
1,Condamine,450,462,1112,"46.105831161,5.55568206762"
1,Condeissiat,817,829,1113,"46.1538469834,5.08437171701"
1,Confort,667,679,1114,"46.1543700156,5.83319395258"
1,Confrançon,1333,1363,1115,"46.270304175,5.05775217893"
1,Contrevoz,498,510,1116,"45.8009403071,5.62087768159"
1,Conzieu,151,153,1117,"45.7253102173,5.60442351043"
1,Corbonod,1278,1310,1118,"45.9659473187,5.78961970355"
1,Corlier,116,117,1121,"46.0336885573,5.49635755029"
1,Cormoranche-sur-Saône,1162,1197,1123,"46.2403530179,4.8276569593"
1,Cormoz,689,697,1124,"46.4336632942,5.22181275755"
1,Corveissiat,612,625,1125,"46.2505107235,5.47152467919"
1,Courmangoux,508,516,1127,"46.3267864521,5.35558241812"
1,Courtes,305,306,1128,"46.4570082032,5.11128546723"
1,Crans,291,297,1129,"45.9663793103,5.19490390871"
1,Bresse Vallons,2363,2407,1130,"46.3130831891,5.17796707174"
1,Cressin-Rochefort,394,400,1133,"45.7826434885,5.76546256637"
1,Crottet,1758,1803,1134,"46.283072336,4.87747971182"
1,Crozet,2171,2235,1135,"46.2915659686,5.99510417092"
1,Cruzilles-lès-Mépillat,893,913,1136,"46.2220588715,4.8752193513"
1,Culoz,3004,3068,1138,"45.8559966843,5.78398308932"
1,Curciat-Dongalon,444,449,1139,"46.4885456881,5.16344336837"
1,Curtafond,767,786,1140,"46.273150382,5.1020896267"
1,Cuzieu,453,468,1141,"45.8200002803,5.6765554896"
1,Dagneux,4777,4834,1142,"45.8531616918,5.07289166803"
1,Divonne-les-Bains,9951,10190,1143,"46.3756333495,6.1158647611"
1,Dompierre-sur-Veyle,1179,1201,1145,"46.0667883703,5.21665199666"
1,Dompierre-sur-Chalaronne,436,439,1146,"46.1415406621,4.90141714714"
1,Domsure,492,495,1147,"46.4244066427,5.29313479651"
1,Dortan,1879,1925,1148,"46.3133221173,5.64146584117"
1,Douvres,1076,1104,1149,"45.984297392,5.37106901673"
1,Drom,214,219,1150,"46.2196603059,5.36799994918"
1,Druillat,1146,1173,1151,"46.067579544,5.29361666429"
1,Echallon,748,768,1152,"46.2271364137,5.73330448395"
1,Echenevex,2115,2189,1153,"46.3160845207,6.01926187996"
1,Evosges,143,147,1155,"45.965147537,5.50283599885"
1,Faramans,815,827,1156,"45.9104942091,5.1249258559"
1,Fareins,2250,2292,1157,"46.020997974,4.7620080898"
1,Farges,1048,1065,1158,"46.166230455,5.90019477201"
1,Feillens,3365,3436,1159,"46.3365833672,4.88507050971"
1,Ferney-Voltaire,10026,10189,1160,"46.2519789243,6.10826403805"
1,Flaxieu,65,68,1162,"45.8113298005,5.74459048839"
1,Foissiat,2038,2073,1163,"46.3784759782,5.18483641417"
1,Francheleins,1594,1627,1165,"46.0735946256,4.81293575559"
1,Frans,2423,2484,1166,"45.9939065077,4.78033196905"
1,Garnerans,634,658,1167,"46.2136224825,4.82843188743"
1,Genouilleux,641,663,1169,"46.1201611728,4.79288195016"
1,Béard-Géovreissiat,1053,1081,1170,"46.1896733539,5.55139781353"
1,Géovreisset,844,886,1171,"46.2508621615,5.61271973915"
1,Gex,13121,13391,1173,"46.3471891747,6.04650555568"
1,Giron,178,180,1174,"46.2227121191,5.78049809256"
1,Gorrevod,784,807,1175,"46.414943437,4.95120595427"
1,Grand-Corent,183,189,1177,"46.207387937,5.43318666027"
1,Grièges,1881,1933,1179,"46.2633634407,4.84621318847"
1,Grilly,839,860,1180,"46.3318810665,6.11366767978"
1,Groissiat,1241,1291,1181,"46.2260039429,5.61095413441"
1,Guéreins,1479,1508,1183,"46.106624674,4.78159420118"
1,Hautecourt-Romanèche,763,789,1184,"46.1611241927,5.42944457639"
1,Plateau d'Hauteville,4844,5020,1185,"45.9696520061,5.57627261783"
1,Haut Valromey,618,639,1187,"46.0317412192,5.70267027388"
1,Illiat,663,683,1188,"46.1866986838,4.88840344003"
1,Injoux-Génissiat,1115,1141,1189,"46.0497734524,5.75991363273"
1,Innimond,87,90,1190,"45.7919647191,5.57389398559"
1,Izenave,154,158,1191,"46.0381623415,5.52447901164"
1,Izernore,2277,2338,1192,"46.2179780137,5.56258251719"
1,Izieu,222,229,1193,"45.6557496407,5.63909140794"
1,Jassans-Riottier,6346,6439,1194,"45.9777239103,4.75984637871"
1,Jasseron,1783,1837,1195,"46.2150037064,5.31215372338"
1,Jayat,1226,1239,1196,"46.3660828991,5.11429701617"
1,Journans,351,364,1197,"46.1464982407,5.33452833151"
1,Joyeux,268,271,1198,"45.9499899849,5.10261326872"
1,Jujurieux,2137,2183,1199,"46.0497041467,5.41094771899"
1,Labalme,214,219,1200,"46.0932491295,5.49438685213"
1,Lagnieu,7161,7308,1202,"45.8917015798,5.32917518895"
1,Laiz,1313,1355,1203,"46.2469919709,4.89933490972"
1,Le Poizat-Lalleyriat,735,750,1204,"46.1479592076,5.71829194244"
1,Lantenay,277,283,1206,"46.0544405897,5.54127421165"
1,Lapeyrouse,317,329,1207,"45.9859131165,4.98196682865"
1,Lavours,131,135,1208,"45.8108837933,5.77267317838"
1,Léaz,778,794,1209,"46.1086518044,5.87649017888"
1,Lélex,228,232,1210,"46.2855010936,5.92927713771"
1,Lent,1395,1430,1211,"46.1160216305,5.20200684747"
1,Lescheroux,718,727,1212,"46.4114892731,5.15107164478"
1,Leyment,1341,1370,1213,"45.9269989549,5.2947657235"
1,Leyssard,158,164,1214,"46.1624187428,5.47633297491"
1,Surjoux-Lhopital,140,143,1215,"46.0238143134,5.76236736492"
1,Lhuis,894,915,1216,"45.7444141403,5.53602066955"
1,Lompnas,164,167,1219,"45.8105943351,5.52320457866"
1,Loyettes,3225,3256,1224,"45.7921564114,5.21770971647"
1,Lurcy,372,380,1225,"46.061730034,4.78075207026"
1,Magnieu,643,657,1227,"45.7754050255,5.71540945601"
1,Maillat,660,674,1228,"46.1201642836,5.52854394238"
1,Malafretaz,1235,1259,1229,"46.3295545661,5.14386299599"
1,Mantenay-Montlin,312,319,1230,"46.4302754511,5.10675899732"
1,Manziat,1948,1996,1231,"46.3643830585,4.90242777155"
1,Marboz,2276,2323,1232,"46.3434312497,5.24374534963"
1,Marchamp,130,133,1233,"45.7738495266,5.54985181107"
1,Marignieu,169,172,1234,"45.8010384947,5.71570352924"
1,Marlieux,1159,1246,1235,"46.0549073186,5.0741150816"
1,Marsonnas,1011,1040,1236,"46.3409117711,5.06434294764"
1,Martignat,1667,1732,1237,"46.2030768095,5.61384033805"
1,Massieux,2670,2726,1238,"45.9094016817,4.82779660051"
1,Massignieu-de-Rives,620,634,1239,"45.7571503942,5.7620535823"
1,Matafelon-Granges,627,643,1240,"46.2565319445,5.53958933702"
1,Meillonnas,1356,1390,1241,"46.244997627,5.33594738489"
1,Mérignat,135,137,1242,"46.0648564341,5.44210660051"
1,Messimy-sur-Saône,1253,1288,1243,"46.0472670758,4.75935643933"
1,Meximieux,7923,8062,1244,"45.9060530318,5.20404833653"
1,Bohas-Meyriat-Rignat,943,964,1245,"46.1427060662,5.3780109646"
1,Mézériat,2217,2253,1246,"46.2423102101,5.04725416984"
1,Mijoux,312,326,1247,"46.3622451724,6.00902631941"
1,Mionnay,2197,2251,1248,"45.8955939299,4.92416967439"
1,Miribel,10122,10273,1249,"45.8442099203,4.94106746787"
1,Misérieux,1974,2226,1250,"45.9762325343,4.81028471711"
1,Mogneneins,786,808,1252,"46.1446696076,4.820110702"
1,Montagnat,2116,2167,1254,"46.1686969123,5.27962107938"
1,Montagnieu,647,659,1255,"45.799449019,5.46428608859"
1,Montanges,351,361,1257,"46.17325293,5.79006091307"
1,Montceaux,1190,1222,1258,"46.0962893261,4.80453564172"
1,Montcet,702,718,1259,"46.219333227,5.11149132074"
1,Le Montellier,302,307,1260,"45.9287482486,5.07092815964"
1,Monthieux,668,691,1261,"45.9622791838,4.94555984534"
1,Montluel,6886,6969,1262,"45.8909006209,5.01987566185"
1,Montmerle-sur-Saône,3772,3859,1263,"46.0849573236,4.7608579486"
1,Montracol,1016,1036,1264,"46.1867200301,5.11706011755"
1,Montréal-la-Cluse,3456,3527,1265,"46.1795688194,5.59510550127"
1,Montrevel-en-Bresse,2576,2618,1266,"46.3252811442,5.11295966315"
1,Nurieux-Volognat,1025,1048,1267,"46.1830720992,5.51435812316"
1,Murs-et-Gélignieux,246,249,1268,"45.6420014274,5.66039684889"
1,Nantua,3454,3589,1269,"46.1537845403,5.61352793799"
1,Neuville-les-Dames,1500,1520,1272,"46.1567753049,5.00942432434"
1,Neuville-sur-Ain,1800,1827,1273,"46.0909654813,5.37349784691"
1,Les Neyrolles,645,660,1274,"46.1342937114,5.63714517869"
1,Neyron,2569,2619,1275,"45.8184192468,4.9309045685"
1,Niévroz,1624,1651,1276,"45.8222941077,5.05949629195"
1,Nivollet-Montgriffon,117,119,1277,"45.9999448244,5.45847815374"
1,Oncieu,80,86,1279,"45.9651165469,5.47146617499"
1,Ordonnaz,138,139,1280,"45.8339690378,5.5395794296"
1,Ornex,4483,4653,1281,"46.2774557513,6.09454723599"
1,Outriaz,258,264,1282,"46.067796636,5.55697547429"
1,Oyonnax,22456,22935,1283,"46.2605435859,5.65344320923"
1,Ozan,694,707,1284,"46.3867168877,4.91805840196"
1,Parcieux,1229,1259,1285,"45.9184267932,4.82747423402"
1,Parves et Nattages,951,989,1286,"45.7437340183,5.73800737134"
1,Péron,2717,2772,1288,"46.1913554154,5.91968751164"
